DateTime,Open,High,Low,Close,EMA_Period_5,EMA_Period_3,Stochastic,Stochastic_Signal
2021-04-01 09:30:00,123.63,123.855,123.265,123.4,0,0,0,0
2021-04-01 09:35:00,123.4,123.965,123.27,123.965,0,0,0,0
2021-04-01 09:40:00,123.965,124.175,123.605,123.695,0,0,0,0
2021-04-01 09:45:00,123.695,123.775,123.385,123.385,0,0,0,0
2021-04-01 09:50:00,123.385,123.595,123.315,123.495,0,123.59,0,0
2021-04-01 09:55:00,123.495,123.6,123.365,123.59,0,123.59,0,0
2021-04-01 10:00:00,123.59,123.665,123.075,123.105,0,123.43,0,0
2021-04-01 10:05:00,123.105,123.435,123.005,123.425,0,123.43,0,0
2021-04-01 10:10:00,123.425,123.515,123.225,123.475,0,123.44,0,0
2021-04-01 10:15:00,123.475,123.645,123.465,123.555,123.51,123.48,0,0
2021-04-01 10:20:00,123.555,123.615,123.415,123.465,123.5,123.48,0,0
2021-04-01 10:25:00,123.465,123.465,123.335,123.405,123.48,123.46,0,0
2021-04-01 10:30:00,123.405,123.535,123.355,123.485,123.48,123.47,0,0
2021-04-01 10:35:00,123.485,123.555,123.295,123.335,123.45,123.42,0,0
2021-04-01 10:40:00,123.335,123.515,123.315,123.455,123.45,123.43,0,0
2021-04-01 10:45:00,123.455,123.535,123.385,123.415,123.44,123.43,0,0
2021-04-01 10:50:00,123.415,123.465,123.245,123.285,123.41,123.38,0,0
2021-04-01 10:55:00,123.285,123.465,123.235,123.455,123.42,123.4,0,0
2021-04-01 11:00:00,123.455,123.695,123.435,123.625,123.46,123.48,0,0
2021-04-01 11:05:00,123.625,123.625,123.345,123.505,123.47,123.49,0,0
2021-04-01 11:10:00,123.505,123.525,123.345,123.375,123.45,123.45,0,0
2021-04-01 11:15:00,123.375,123.395,123.165,123.215,123.41,123.37,0,0
2021-04-01 11:20:00,123.215,123.425,123.195,123.225,123.38,123.32,0,0
2021-04-01 11:25:00,123.225,123.335,123.195,123.275,123.36,123.3,0,0
2021-04-01 11:30:00,123.275,123.305,123.175,123.175,123.33,123.26,0,0
2021-04-01 11:35:00,123.175,123.225,123.115,123.125,123.29,123.22,0,0
2021-04-01 11:40:00,123.125,123.155,123.025,123.105,123.26,123.18,0,0
2021-04-01 11:45:00,123.105,123.285,123.065,123.205,123.25,123.19,28.99,22.85
2021-04-01 11:50:00,123.205,123.215,123.025,123.025,123.21,123.14,0.0,22.47
2021-04-01 11:55:00,123.025,123.055,122.895,122.905,123.15,123.06,1.25,19.91
2021-04-01 12:00:00,122.905,123.025,122.845,123.015,123.13,123.04,20.0,17.4
2021-04-01 12:05:00,123.015,123.245,122.995,123.205,123.14,123.1,42.35,15.25
2021-04-01 12:10:00,123.205,123.245,123.135,123.245,123.16,123.15,47.06,17.78
2021-04-01 12:15:00,123.245,123.355,123.135,123.335,123.19,123.21,57.65,22.02
2021-04-01 12:20:00,123.335,123.365,123.245,123.295,123.21,123.24,52.94,28.19
2021-04-01 12:25:00,123.295,123.375,123.255,123.355,123.24,123.28,60.0,31.61
2021-04-01 12:30:00,123.355,123.435,123.295,123.305,123.25,123.29,54.12,40.18
2021-04-01 12:35:00,123.305,123.375,123.245,123.365,123.27,123.32,61.18,47.73
2021-04-01 12:40:00,123.365,123.375,123.275,123.335,123.28,123.32,57.65,53.61
2021-04-01 12:45:00,123.335,123.365,123.175,123.175,123.26,123.27,42.31,55.8
