DateTime,Open,High,Low,Close,EMA_Period_10,EMA_Period_5,Stochastic,Stochastic_Signal
2021-04-01 09:30:00,530.09,530.09,527.195,528.065,0,0,0,0
2021-04-01 09:35:00,528.065,531.84,527.3,531.69,0,0,0,0
2021-04-01 09:40:00,531.69,531.69,529.87,530.35,0,0,0,0
2021-04-01 09:45:00,530.35,532.66,530.35,531.625,0,0,0,0
2021-04-01 09:50:00,531.625,533.145,531.185,531.765,0,530.7,0,0
2021-04-01 09:55:00,531.765,532.17,530.285,531.05,0,530.82,0,0
2021-04-01 10:00:00,531.05,531.18,528.28,529.18,0,530.27,0,0
2021-04-01 10:05:00,529.18,530.805,528.735,530.675,0,530.4,0,0
2021-04-01 10:10:00,530.675,531.85,530.655,531.27,0,530.69,0,0
2021-04-01 10:15:00,531.27,531.42,530.49,530.575,530.62,530.65,0,0
2021-04-01 10:20:00,530.575,531.425,529.775,531.185,530.72,530.83,0,0
2021-04-01 10:25:00,531.185,532.72,530.89,532.05,530.96,531.24,0,0
2021-04-01 10:30:00,532.05,532.49,531.62,531.855,531.12,531.45,0,0
2021-04-01 10:35:00,531.855,532.625,531.51,531.68,531.22,531.53,0,0
2021-04-01 10:40:00,531.68,532.91,531.43,532.76,531.5,531.94,0,0
2021-04-01 10:45:00,532.76,532.84,531.665,531.7,531.54,531.86,0,0
2021-04-01 10:50:00,531.7,532.305,531.175,531.28,531.49,531.67,0,0
2021-04-01 10:55:00,531.28,532.355,531.28,532.18,531.62,531.84,0,0
2021-04-01 11:00:00,532.18,532.795,532.13,532.78,531.83,532.15,0,0
2021-04-01 11:05:00,532.78,533.445,531.755,533.04,532.05,532.45,0,0
2021-04-01 11:10:00,533.04,533.135,531.805,531.805,532.01,532.24,0,0
2021-04-01 11:15:00,531.805,531.94,530.21,530.995,531.83,531.83,0,0
2021-04-01 11:20:00,530.995,531.705,530.64,531.285,531.73,531.65,0,0
2021-04-01 11:25:00,531.285,532.645,530.62,532.54,531.88,531.95,0,0
2021-04-01 11:30:00,532.54,532.675,531.22,531.43,531.8,531.78,0,0
2021-04-01 11:35:00,531.43,531.765,530.555,530.585,531.58,531.38,0,0
2021-04-01 11:40:00,530.585,531.12,530.325,531.115,531.5,531.29,0,0
2021-04-01 11:45:00,531.115,531.86,530.735,531.825,531.56,531.47,65.61,62.15
2021-04-01 11:50:00,531.825,532.16,531.395,531.775,531.6,531.57,54.5,60.99
2021-04-01 11:55:00,531.775,533.005,531.755,532.635,531.79,531.93,77.93,60.18
2021-04-01 12:00:00,532.635,532.675,531.965,532.275,531.88,532.04,68.12,63.0
2021-04-01 12:05:00,532.275,532.56,532.015,532.115,531.92,532.06,58.89,60.95
2021-04-01 12:10:00,532.115,532.52,531.63,532.505,532.03,532.21,70.94,60.65
2021-04-01 12:15:00,532.505,534.34,532.44,534.275,532.44,532.9,98.43,64.41
2021-04-01 12:20:00,534.275,534.595,533.37,534.045,532.73,533.28,87.46,70.63
2021-04-01 12:25:00,534.045,534.845,533.84,534.77,533.1,533.78,98.38,73.75
