DateTime,Open,High,Low,Close,EMA_Period_5,EMA_Period_3,Stochastic,Stochastic_Signal
2021-04-09 12:01:00,1.374155,1.37424,1.374145,1.374205,0,0,0,0
2021-04-09 12:02:00,1.374205,1.37425,1.374115,1.37423,0,0,0,0
2021-04-09 12:03:00,1.37423,1.37423,1.37402,1.374025,0,1.3742,0,0
2021-04-09 12:04:00,1.374025,1.374055,1.37396,1.374005,0,1.3741,0,0
2021-04-09 12:05:00,1.374005,1.374005,1.37392,1.373955,1.3741,1.374,0,0
2021-04-09 12:06:00,1.373955,1.37396,1.37383,1.373835,1.374,1.3739,0,0
2021-04-09 12:07:00,1.373835,1.373855,1.373775,1.3738,1.3739,1.3738,0,0
2021-04-09 12:08:00,1.3738,1.373955,1.373765,1.373955,1.3739,1.3739,0,0
2021-04-09 12:09:00,1.373955,1.374005,1.37394,1.373965,1.3739,1.3739,0,0
2021-04-09 12:10:00,1.373965,1.373965,1.373905,1.37393,1.3739,1.3739,56.9,29.15
2021-04-09 12:11:00,1.37393,1.37396,1.3739,1.37392,1.3739,1.3739,64.58,46.36
2021-04-09 12:12:00,1.37392,1.373955,1.373745,1.373745,1.3738,1.3738,0.0,54.83
2021-04-09 12:13:00,1.373745,1.373745,1.373665,1.373685,1.3738,1.3737,5.88,40.49
2021-04-09 12:14:00,1.373685,1.373705,1.37364,1.37366,1.3738,1.3737,5.48,23.49
2021-04-09 12:15:00,1.37366,1.37366,1.37355,1.37355,1.3737,1.3736,0.0,3.79
2021-04-09 12:16:00,1.37355,1.37355,1.373505,1.373545,1.3736,1.3736,8.7,3.79
2021-04-09 12:17:00,1.373545,1.373555,1.373535,1.373555,1.3736,1.3736,10.99,4.73
2021-04-09 12:18:00,1.373555,1.37356,1.37351,1.373555,1.3736,1.3736,11.11,6.56
2021-04-09 12:19:00,1.373555,1.373635,1.373555,1.373555,1.3736,1.3736,20.83,10.27
2021-04-09 12:20:00,1.373555,1.37356,1.373495,1.373555,1.3736,1.3736,28.57,14.31
2021-04-09 12:21:00,1.373555,1.373645,1.373555,1.373645,1.3736,1.3736,90.91,20.17
2021-04-09 12:22:00,1.373645,1.37366,1.373625,1.37365,1.3736,1.3736,93.94,46.77
2021-04-09 12:23:00,1.37365,1.37376,1.37365,1.373655,1.3736,1.3736,60.38,71.14
2021-04-09 12:24:00,1.373655,1.37367,1.37365,1.37365,1.3736,1.3736,58.49,81.74
2021-04-09 12:25:00,1.37365,1.37372,1.37364,1.373665,1.3736,1.3736,64.15,70.94
2021-04-09 12:26:00,1.373665,1.37382,1.373665,1.37382,1.3737,1.3737,100.0,61.01
2021-04-09 12:27:00,1.37382,1.37384,1.37374,1.37375,1.3737,1.3737,68.42,74.21
2021-04-09 12:28:00,1.37375,1.37384,1.37374,1.37383,1.3737,1.3738,95.35,77.52
2021-04-09 12:29:00,1.37383,1.37383,1.373675,1.373675,1.3737,1.3737,17.5,87.92
2021-04-09 12:30:00,1.373675,1.373675,1.373585,1.37362,1.3737,1.3737,13.73,60.42
2021-04-09 12:31:00,1.37362,1.373815,1.37362,1.37376,1.3737,1.3737,68.63,42.19
2021-04-09 12:32:00,1.37376,1.37381,1.373755,1.37376,1.3737,1.3737,68.63,33.29
2021-04-09 12:33:00,1.37376,1.37382,1.373755,1.373765,1.3737,1.3737,70.59,50.33
2021-04-09 12:34:00,1.373765,1.373865,1.373745,1.373745,1.3737,1.3737,57.14,69.28
2021-04-09 12:35:00,1.373745,1.373835,1.373695,1.373695,1.3737,1.3737,39.29,65.45
2021-04-09 12:36:00,1.373695,1.373735,1.373645,1.37372,1.3737,1.3737,48.21,55.67
2021-04-09 12:37:00,1.37372,1.37382,1.37372,1.373805,1.3737,1.3738,75.51,48.21
2021-04-09 12:38:00,1.373805,1.373855,1.373735,1.373765,1.3737,1.3738,54.55,54.34
2021-04-09 12:39:00,1.373765,1.373825,1.37373,1.37373,1.3737,1.3738,38.64,59.42
2021-04-09 12:40:00,1.37373,1.37373,1.373445,1.373445,1.3736,1.3736,0.0,56.23
2021-04-09 12:41:00,1.373445,1.373485,1.37343,1.373465,1.3736,1.3735,8.24,31.06
2021-04-09 12:42:00,1.373465,1.37351,1.373435,1.373475,1.3736,1.3735,10.59,15.63
2021-04-09 12:43:00,1.373475,1.373505,1.37343,1.373465,1.3736,1.3735,8.24,6.28
2021-04-09 12:44:00,1.373465,1.37351,1.373465,1.37348,1.3736,1.3735,11.76,9.02
2021-04-09 12:45:00,1.37348,1.373585,1.37345,1.37357,1.3736,1.3735,35.44,10.2
2021-04-09 12:46:00,1.37357,1.373655,1.373535,1.373655,1.3736,1.3736,75.0,18.48
2021-04-09 12:47:00,1.373655,1.373855,1.373615,1.373855,1.3737,1.3737,100.0,40.73
2021-04-09 12:48:00,1.373855,1.373935,1.37384,1.373855,1.3738,1.3738,84.16,70.15
2021-04-09 12:49:00,1.373855,1.373925,1.373845,1.373855,1.3738,1.3738,84.16,86.39
2021-04-09 12:50:00,1.373855,1.37388,1.373845,1.37386,1.3738,1.3738,84.54,89.44
2021-04-09 12:51:00,1.37386,1.37386,1.373855,1.37386,1.3738,1.3738,84.54,84.29
2021-04-09 12:52:00,1.37386,1.37386,1.37375,1.37375,1.3738,1.3738,53.75,84.41
2021-04-09 12:53:00,1.37375,1.373755,1.37364,1.37366,1.3738,1.3737,14.06,74.28
