OrderID,Parent_OrderID,Symbol,Action,WeekDay,p_dt,p_price,p_qty,Pip/Points,NET,Comm,Status,StopLoss,Target
1,0,AAPL,BUY,Thu,2020-10-01 10:15:00,118.3,100000,-2.99,-299000.0,0.0,OPEN,0.0,121.85
2,1,AAPL,SELL,Thu,2020-10-01 10:40:00,115.31,100000,0,0,0,STOCH_EXIT,0,0
3,0,AAPL,SELL,Thu,2020-10-01 10:45:00,115.2,100000,-2.69,-269000.0,0.0,OPEN,230.4,111.74
4,3,AAPL,BUY,Thu,2020-10-01 11:10:00,117.89,100000,0,0,0,STOCH_EXIT,0,0
5,0,AAPL,BUY,Thu,2020-10-01 11:25:00,118.15,100000,-2.98,-298000.0,0.0,OPEN,0.0,121.69
6,5,AAPL,SELL,Thu,2020-10-01 11:40:00,115.17,100000,0,0,0,STOCH_EXIT,0,0
7,0,AAPL,SELL,Thu,2020-10-01 11:45:00,114.94,100000,-2.68,-268000.0,0.0,OPEN,229.88,111.49
8,7,AAPL,BUY,Thu,2020-10-01 12:10:00,117.62,100000,0,0,0,STOCH_EXIT,0,0
9,0,AAPL,BUY,Thu,2020-10-01 12:30:00,117.86,100000,-2.96,-296000.0,0.0,OPEN,0.0,121.4
10,9,AAPL,SELL,Thu,2020-10-01 01:15:00,114.9,100000,0,0,0,STOCH_EXIT,0,0
11,0,AAPL,SELL,Fri,2020-10-02 09:30:00,112.65,100000,-3.62,-362000.0,0.0,OPEN,225.3,109.27
12,11,AAPL,BUY,Fri,2020-10-02 11:05:00,116.27,100000,0,0,0,STOCH_EXIT,0,0
13,0,AAPL,BUY,Fri,2020-10-02 12:10:00,115.39,100000,-2.88,-288000.0,0.0,OPEN,0.0,118.85
14,13,AAPL,SELL,Fri,2020-10-02 12:30:00,112.51,100000,0,0,0,STOCH_EXIT,0,0
15,0,AAPL,SELL,Fri,2020-10-02 12:55:00,112.59,100000,-2.7,-270000.0,0.0,OPEN,225.18,109.21
16,15,AAPL,BUY,Fri,2020-10-02 01:05:00,115.29,100000,0,0,0,STOCH_EXIT,0,0
17,0,AAPL,BUY,Mon,2020-10-05 09:30:00,115.61,100000,-2.2,-220000.0,0.0,OPEN,0.0,119.08
18,17,AAPL,SELL,Mon,2020-10-05 10:20:00,113.41,100000,0,0,0,STOCH_EXIT,0,0
19,0,AAPL,SELL,Mon,2020-10-05 11:00:00,113.56,100000,-2.98,-298000.0,0.0,OPEN,227.12,110.15
20,19,AAPL,BUY,Mon,2020-10-05 11:10:00,116.54,100000,0,0,0,STOCH_EXIT,0,0
21,0,AAPL,BUY,Mon,2020-10-05 11:15:00,116.78,100000,-2.67,-267000.0,0.0,OPEN,0.0,120.28
22,21,AAPL,SELL,Mon,2020-10-05 12:35:00,114.11,100000,0,0,0,STOCH_EXIT,0,0
23,0,AAPL,SELL,Tue,2020-10-06 09:30:00,114.25,100000,-2.16,-216000.0,0.0,OPEN,228.5,110.82
24,23,AAPL,BUY,Tue,2020-10-06 09:55:00,116.41,100000,0,0,0,STOCH_EXIT,0,0
25,0,AAPL,BUY,Tue,2020-10-06 10:10:00,116.85,100000,-3.2,-320000.0,0.0,OPEN,0.0,120.36
26,25,AAPL,SELL,Tue,2020-10-06 10:20:00,113.65,100000,0,0,0,STOCH_EXIT,0,0
27,0,AAPL,SELL,Tue,2020-10-06 10:25:00,113.69,100000,-2.64,-264000.0,0.0,OPEN,227.38,110.28
28,27,AAPL,BUY,Tue,2020-10-06 10:40:00,116.33,100000,0,0,0,STOCH_EXIT,0,0
