Symbol,SecType,Exchange,Currency,TickSize,StopLoss,Target,Spread,Start_Time_Hr,Start_Time_Min,Stop_Time_Hr,Stop_Time_Min,EOD_Hr,EOD_Min,weekDays,isEmaExit,isStochExit,Status
SBIN,STK,NSE,INR,0.00001,25,1,5,7,30,11,0,12,0,"mon,tue,wed,thu,fri",TRUE,FALSE,I
ITC,STK,NSE,INR,0.01,100,3,3,9,30,15,0,15,50,"mon,tue,wed,thu,fri",FALSE,TRUE,A
HDFCBANK,STK,NSE,INR,0.00001,25,1,5,7,30,11,0,12,0,"mon,tue,wed,thu,fri",TRUE,FALSE,I
