DateTime,Open,High,Low,Close,Volume
3/31/2021 9:30:00 AM,121.65,121.75,121.15,121.56,3888700
3/31/2021 9:35:00 AM,121.57,122.1,121.5,122.08,3093400
3/31/2021 9:40:00 AM,122.08,122.41,122.07,122.09,2573500
3/31/2021 9:45:00 AM,122.1,122.65,122.1,122.56,2307500
3/31/2021 9:50:00 AM,122.55,123.05,122.55,122.86,3025700
3/31/2021 9:55:00 AM,122.85,123.01,122.73,122.97,1961400
3/31/2021 10:00:00 AM,122.96,123.25,122.93,122.94,2072400
3/31/2021 10:05:00 AM,122.94,123.11,122.68,122.83,1776000
3/31/2021 10:10:00 AM,122.83,122.88,122.53,122.73,1428600
3/31/2021 10:15:00 AM,122.74,122.89,122.66,122.86,1225400
3/31/2021 10:20:00 AM,122.86,123.04,122.78,122.8,1205700
3/31/2021 10:25:00 AM,122.79,122.98,122.72,122.76,1120100
3/31/2021 10:30:00 AM,122.76,122.93,122.72,122.75,1006300
3/31/2021 10:35:00 AM,122.75,123.09,122.75,122.93,1380900
3/31/2021 10:40:00 AM,122.93,123.2,122.92,123.12,1169900
3/31/2021 10:45:00 AM,123.12,123.24,123.06,123.07,1088000
3/31/2021 10:50:00 AM,123.07,123.14,122.93,123,1155400
3/31/2021 10:55:00 AM,123.01,123.08,122.8,122.82,756500
3/31/2021 11:00:00 AM,122.81,122.94,122.77,122.78,713100
3/31/2021 11:05:00 AM,122.78,122.81,122.65,122.66,787100
3/31/2021 11:10:00 AM,122.66,122.86,122.64,122.77,763600
3/31/2021 11:15:00 AM,122.77,122.98,122.76,122.91,841200
3/31/2021 11:20:00 AM,122.92,123.06,122.86,122.9,897100
3/31/2021 11:25:00 AM,122.9,122.98,122.8,122.87,658100
3/31/2021 11:30:00 AM,122.86,123.11,122.85,123,970500
3/31/2021 11:35:00 AM,123,123.19,122.97,123.09,920100
3/31/2021 11:40:00 AM,123.09,123.17,122.9,122.93,786600
3/31/2021 11:45:00 AM,122.94,123.09,122.93,122.98,744700
3/31/2021 11:50:00 AM,122.98,123.06,122.92,122.99,577600
3/31/2021 11:55:00 AM,122.99,123.31,122.98,123.28,1257300
3/31/2021 12:00:00 PM,123.28,123.39,123.2,123.32,949700
