DateTime,Open,High,Low,Close,Volume
10/1/2020 9:30:00 AM,117.7,117.72,116.75,117.02,4476700
10/1/2020 9:35:00 AM,117.03,117.07,116.41,116.72,2687600
10/1/2020 9:40:00 AM,116.7,117.09,116.53,116.96,2536700
10/1/2020 9:45:00 AM,116.96,117.05,116.56,116.68,1916500
10/1/2020 9:50:00 AM,116.67,116.72,116.17,116.18,2245400
10/1/2020 9:55:00 AM,116.19,116.55,116.16,116.42,1823900
10/1/2020 10:00:00 AM,116.41,116.93,116.28,116.91,2085600
10/1/2020 10:05:00 AM,116.92,116.98,116.33,116.51,2102800
10/1/2020 10:10:00 AM,116.51,116.68,116.29,116.66,1478500
10/1/2020 10:15:00 AM,116.66,116.88,116.49,116.8,1441200
10/1/2020 10:20:00 AM,116.8,116.89,116.57,116.67,1091600
10/1/2020 10:25:00 AM,116.68,116.69,116.42,116.65,984600
10/1/2020 10:30:00 AM,116.66,116.95,116.49,116.91,1221100
10/1/2020 10:35:00 AM,116.9,117.02,116.83,116.93,1187300
10/1/2020 10:40:00 AM,116.92,116.95,116.66,116.81,1141600
10/1/2020 10:45:00 AM,116.81,116.85,116.61,116.7,933700
10/1/2020 10:50:00 AM,116.7,116.93,116.55,116.81,1064400
10/1/2020 10:55:00 AM,116.81,116.87,116.51,116.76,1070800
10/1/2020 11:00:00 AM,116.77,116.9,116.49,116.72,1127200
10/1/2020 11:05:00 AM,116.71,116.77,116.38,116.43,1033500
10/1/2020 11:10:00 AM,116.43,116.49,116.14,116.39,1384200
10/1/2020 11:15:00 AM,116.38,116.61,116.35,116.45,1022800
10/1/2020 11:20:00 AM,116.46,116.7,116.41,116.64,805900
10/1/2020 11:25:00 AM,116.63,116.73,116.6,116.65,766400
10/1/2020 11:30:00 AM,116.66,116.78,116.6,116.73,784300
10/1/2020 11:35:00 AM,116.74,116.88,116.65,116.75,810900
10/1/2020 11:40:00 AM,116.75,116.83,116.61,116.67,665300
10/1/2020 11:45:00 AM,116.68,116.7,116.43,116.44,725300
10/1/2020 11:50:00 AM,116.44,116.52,116.3,116.41,890400
10/1/2020 11:55:00 AM,116.41,116.52,116.24,116.32,842900
10/1/2020 12:00:00 PM,116.32,116.35,115.94,116.05,1470300
10/1/2020 12:05:00 PM,116.04,116.13,115.88,116.01,1135400
10/1/2020 12:10:00 PM,116.02,116.2,115.95,116.12,1111600
10/1/2020 12:15:00 PM,116.11,116.23,115.83,116.03,1306200
10/1/2020 12:20:00 PM,116.03,116.43,115.95,116.25,1094300
10/1/2020 12:25:00 PM,116.25,116.32,116.16,116.25,760600
10/1/2020 12:30:00 PM,116.25,116.45,116.22,116.36,739000
10/1/2020 12:35:00 PM,116.36,116.38,116.01,116.18,1009000
10/1/2020 12:40:00 PM,116.17,116.28,116.09,116.18,726000
10/1/2020 12:45:00 PM,116.18,116.23,116.08,116.12,525500
10/1/2020 12:50:00 PM,116.12,116.35,116.07,116.32,786900
10/1/2020 12:55:00 PM,116.32,116.36,116.2,116.33,600800
10/1/2020 1:00:00 PM,116.33,116.42,116.28,116.3,592300
10/1/2020 1:05:00 PM,116.31,116.55,116.3,116.51,594100
10/1/2020 1:10:00 PM,116.51,116.54,116.4,116.44,575100
10/1/2020 1:15:00 PM,116.44,116.53,116.23,116.4,825400
10/1/2020 1:20:00 PM,116.38,116.55,116.31,116.47,615700
10/1/2020 1:25:00 PM,116.47,116.52,116.22,116.38,792700
10/1/2020 1:30:00 PM,116.39,116.51,116.34,116.48,545100
10/1/2020 1:35:00 PM,116.48,116.64,116.43,116.64,730700
10/1/2020 1:40:00 PM,116.63,116.77,116.58,116.66,794400
10/1/2020 1:45:00 PM,116.67,116.88,116.66,116.86,781800
10/1/2020 1:50:00 PM,116.86,116.92,116.66,116.91,858100
10/1/2020 1:55:00 PM,116.91,116.92,116.25,116.43,1065200
10/1/2020 2:00:00 PM,116.46,116.79,116.06,116.31,1619100
10/1/2020 2:05:00 PM,116.31,116.33,115.92,116.23,1812700
10/1/2020 2:10:00 PM,116.23,116.34,116.08,116.2,1003600
10/1/2020 2:15:00 PM,116.2,116.2,115.91,116.12,952700
10/1/2020 2:20:00 PM,116.12,116.36,116.09,116.33,1024300
10/1/2020 2:25:00 PM,116.33,116.48,116.25,116.42,1123600
10/1/2020 2:30:00 PM,116.41,116.63,116.4,116.59,1117400
10/1/2020 2:35:00 PM,116.59,116.73,116.5,116.62,936200
10/1/2020 2:40:00 PM,116.61,116.75,116.51,116.73,951700
